#gene_id	#GO_term	#Description
default-0_c6885|m.5964	GO:0055114	oxidation-reduction process
default-0_rep_c39221|m.27276	GO:0007017	microtubule-based process
default-0_rep_c106485|m.65915	GO:0006412	translation
default-0_rep_c1326|m.1164	GO:0006508	proteolysis
default-0_c17845|m.14179	GO:0006355	regulation of transcription, DNA-templated
default-0_c73164|m.49118	GO:0006396	RNA processing
default-0_rep_c107904|m.66894	GO:0009247	glycolipid biosynthetic process
default-0_rep_c63365|m.43171	GO:0006412	translation
default-0_rep_c47389|m.32847	GO:0045454	cell redox homeostasis
default-0_rep_c111082|m.68761	GO:0006457	protein folding
default-0_rep_c42957|m.29540	GO:0015991	ATP hydrolysis coupled proton transport
default-0_c71165|m.47406	GO:0055085	transmembrane transport
default-0_rep_c106642|m.66022	GO:0009733	response to auxin
default-0_rep_c32797|m.23784	GO:0008152	metabolic process
default-0_c73423|m.49336	GO:0016567	protein ubiquitination
default-0_c73423|m.49336	GO:0031347	regulation of defense response
default-0_rep_c68813|m.46139	GO:0000413	protein peptidyl-prolyl isomerization
default-0_rep_c68813|m.46139	GO:0006457	protein folding
default-0_rep_c13596|m.11093	GO:0006412	translation
default-0_rep_c75795|m.51065	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c43898|m.30319	GO:0006808	regulation of nitrogen utilization
default-0_rep_c71952|m.48135	GO:0006412	translation
default-0_rep_c50946|m.35189	GO:0046034	ATP metabolic process
default-0_rep_c50946|m.35189	GO:0015992	proton transport
default-0_c13731|m.11209	GO:0006351	transcription, DNA-templated
default-0_rep_c59735|m.40918	GO:0006412	translation
default-0_rep_c93878|m.60622	GO:0007017	microtubule-based process
default-0_rep_c66698|m.45101	GO:0006334	nucleosome assembly
default-0_rep_c91170|m.59412	GO:0006869	lipid transport
default-0_rep_c40262|m.27865	GO:0006412	translation
default-0_rep_c3817|m.3341	GO:0006633	fatty acid biosynthetic process
default-0_rep_c3817|m.3341	GO:0055114	oxidation-reduction process
default-0_rep_c18284|m.14495	GO:0006508	proteolysis
default-0_rep_c100906|m.63511	GO:0030244	cellulose biosynthetic process
default-0_rep_c54885|m.37688	GO:0006694	steroid biosynthetic process
default-0_rep_c92376|m.59972	GO:0006452	translational frameshifting
default-0_rep_c92376|m.59972	GO:0045901	positive regulation of translational elongation
default-0_rep_c92376|m.59972	GO:0045905	positive regulation of translational termination
default-0_rep_c113139|m.69739	GO:0015991	ATP hydrolysis coupled proton transport
default-0_rep_c35888|m.25360	GO:0045040	protein import into mitochondrial outer membrane
default-0_rep_c42421|m.29152	GO:0006886	intracellular protein transport
default-0_rep_c42421|m.29152	GO:0006913	nucleocytoplasmic transport
default-0_rep_c42421|m.29152	GO:0007165	signal transduction
default-0_rep_c42421|m.29152	GO:0015031	protein transport
default-0_rep_c42421|m.29152	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c12458|m.10257	GO:0055085	transmembrane transport
default-0_rep_c12458|m.10257	GO:0006814	sodium ion transport
default-0_rep_c79342|m.53348	GO:0006468	protein phosphorylation
default-0_c80670|m.54174	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
default-0_c38676|m.26959	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
default-0_rep_c12458|m.10258	GO:0055085	transmembrane transport
default-0_rep_c12458|m.10258	GO:0006814	sodium ion transport
default-0_rep_c90156|m.59014	GO:0030244	cellulose biosynthetic process
default-0_rep_c59439|m.40725	GO:0006414	translational elongation
default-0_rep_c7632|m.6561	GO:0008152	metabolic process
default-0_rep_c41200|m.28405	GO:0006418	tRNA aminoacylation for protein translation
default-0_rep_c109034|m.67634	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c12401|m.10225	GO:0006508	proteolysis
default-0_c111696|m.69029	GO:0006468	protein phosphorylation
default-0_rep_c67900|m.45679	GO:0006334	nucleosome assembly
default-0_rep_c3138|m.2760	GO:0006810	transport
default-0_c80239|m.53929	GO:0006950	response to stress
default-0_rep_c97405|m.62160	GO:0006032	chitin catabolic process
default-0_rep_c97405|m.62160	GO:0016998	cell wall macromolecule catabolic process
default-0_rep_c64106|m.43587	GO:0006412	translation
default-0_rep_c231|m.273	GO:0006413	translational initiation
default-0_rep_c55136|m.37876	GO:0006412	translation
default-0_rep_c67430|m.45467	GO:0000413	protein peptidyl-prolyl isomerization
default-0_rep_c67430|m.45467	GO:0006457	protein folding
default-0_c5957|m.5198	GO:0055114	oxidation-reduction process
default-0_rep_c20863|m.16390	GO:0006629	lipid metabolic process
default-0_c47494|m.32913	GO:0006486	protein glycosylation
default-0_rep_c30206|m.22395	GO:0009765	photosynthesis, light harvesting
default-0_c41677|m.28675	GO:0007076	mitotic chromosome condensation
default-0_rep_c25307|m.19393	GO:0006412	translation
default-0_rep_c108704|m.67406	GO:0008295	spermidine biosynthetic process
default-0_rep_c108704|m.67406	GO:0006597	spermine biosynthetic process
default-0_rep_c59627|m.40850	GO:0006412	translation
default-0_c116669|m.71661	GO:0055114	oxidation-reduction process
default-0_c116669|m.71661	GO:0008152	metabolic process
default-0_rep_c62836|m.42855	GO:0006351	transcription, DNA-templated
default-0_rep_c4751|m.4200	GO:0006412	translation
default-0_c25643|m.19634	GO:0055085	transmembrane transport
default-0_c25643|m.19633	GO:0055085	transmembrane transport
default-0_rep_c30726|m.22711	GO:0015914	phospholipid transport
default-0_rep_c42288|m.29073	GO:0008152	metabolic process
default-0_rep_c8089|m.6917	GO:0006073	cellular glucan metabolic process
default-0_rep_c53226|m.36563	GO:0008152	metabolic process
default-0_c22677|m.17617	GO:0042254	ribosome biogenesis
default-0_c22677|m.17617	GO:0042256	mature ribosome assembly
default-0_rep_c21407|m.16761	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
default-0_rep_c21407|m.16761	GO:0050992	dimethylallyl diphosphate biosynthetic process
default-0_rep_c66525|m.44998	GO:0015991	ATP hydrolysis coupled proton transport
default-0_rep_c94797|m.61031	GO:0000387	spliceosomal snRNP assembly
default-0_rep_c94797|m.61031	GO:0000398	mRNA splicing, via spliceosome
default-0_rep_c45217|m.31345	GO:0006465	signal peptide processing
default-0_c91033|m.59353	GO:0055114	oxidation-reduction process
default-0_c33887|m.24344	GO:0015979	photosynthesis
default-0_rep_c56701|m.38982	GO:0006468	protein phosphorylation
default-0_rep_c19667|m.15530	GO:0007165	signal transduction
default-0_rep_c6410|m.5566	GO:0006465	signal peptide processing
default-0_rep_c110683|m.68556	GO:0006334	nucleosome assembly
default-0_rep_c15974|m.12851	GO:0009664	plant-type cell wall organization
default-0_c85120|m.56608	GO:0006412	translation
default-0_c11497|m.9529	GO:0008152	metabolic process
default-0_rep_c11383|m.9437	GO:0055114	oxidation-reduction process
default-0_rep_c5429|m.4758	GO:0015995	chlorophyll biosynthetic process
default-0_rep_c5429|m.4758	GO:0015979	photosynthesis
default-0_rep_c5429|m.4758	GO:0055114	oxidation-reduction process
default-0_rep_c54887|m.37690	GO:0006810	transport
default-0_rep_c47058|m.32608	GO:0006886	intracellular protein transport
default-0_c49729|m.34447	GO:0007018	microtubule-based movement
default-0_rep_c7644|m.6569	GO:0055114	oxidation-reduction process
default-0_rep_c7644|m.6569	GO:0006102	isocitrate metabolic process
default-0_rep_c111908|m.69120	GO:0006032	chitin catabolic process
default-0_rep_c111908|m.69120	GO:0016998	cell wall macromolecule catabolic process
default-0_rep_c19710|m.15566	GO:0006412	translation
default-0_rep_c42799|m.29396	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c41285|m.28441	GO:0000105	histidine biosynthetic process
default-0_c44805|m.31027	GO:0006508	proteolysis
default-0_rep_c91985|m.59791	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c19671|m.15537	GO:0055085	transmembrane transport
default-0_rep_c19671|m.15536	GO:0055085	transmembrane transport
default-0_rep_c36002|m.25430	GO:0030001	metal ion transport
default-0_rep_c95751|m.61500	GO:0050999	regulation of nitric-oxide synthase activity
default-0_rep_c30563|m.22612	GO:0006096	glycolytic process
default-0_rep_c64170|m.43625	GO:0055114	oxidation-reduction process
default-0_rep_c61576|m.42097	GO:0006412	translation
default-0_rep_c54441|m.37375	GO:0008299	isoprenoid biosynthetic process
default-0_rep_c116862|m.71755	GO:0006355	regulation of transcription, DNA-templated
default-0_c37730|m.26417	GO:0006520	cellular amino acid metabolic process
default-0_c37730|m.26417	GO:0055114	oxidation-reduction process
default-0_rep_c78060|m.52509	GO:0000387	spliceosomal snRNP assembly
default-0_rep_c78060|m.52509	GO:0000398	mRNA splicing, via spliceosome
default-0_rep_c73970|m.49756	GO:0006366	transcription from RNA polymerase II promoter
default-0_rep_c107608|m.66679	GO:0045454	cell redox homeostasis
default-0_rep_c87796|m.58019	GO:0009765	photosynthesis, light harvesting
default-0_rep_c40002|m.27734	GO:0008380	RNA splicing
default-0_c90118|m.58996	GO:0009107	lipoate biosynthetic process
default-0_rep_c56298|m.38732	GO:0055085	transmembrane transport
default-0_rep_c34487|m.24647	GO:0006810	transport
default-0_c47801|m.33112	GO:0005975	carbohydrate metabolic process
default-0_rep_c49761|m.34468	GO:0006414	translational elongation
default-0_c94261|m.60810	GO:0006075	(1->3)-beta-D-glucan biosynthetic process
default-0_c37473|m.26274	GO:0006810	transport
default-0_c37473|m.26274	GO:0016192	vesicle-mediated transport
default-0_rep_c20520|m.16195	GO:0008152	metabolic process
default-0_c49717|m.34441	GO:0055085	transmembrane transport
default-0_rep_c58451|m.40112	GO:0006096	glycolytic process
default-0_rep_c21312|m.16682	GO:0006468	protein phosphorylation
default-0_dn_rep_c1383|m.1207	GO:0006810	transport
default-0_rep_c47246|m.32747	GO:0055114	oxidation-reduction process
default-0_rep_c63625|m.43312	GO:0006164	purine nucleotide biosynthetic process
default-0_rep_c63625|m.43312	GO:0055114	oxidation-reduction process
default-0_rep_c66265|m.44852	GO:0055114	oxidation-reduction process
default-0_rep_c88580|m.58324	GO:0045454	cell redox homeostasis
default-0_rep_c88580|m.58324	GO:0006662	glycerol ether metabolic process
default-0_rep_c13018|m.10661	GO:0006412	translation
default-0_rep_c44452|m.30764	GO:0015979	photosynthesis
default-0_c95259|m.61266	GO:0055114	oxidation-reduction process
default-0_rep_c61974|m.42346	GO:0007017	microtubule-based process
default-0_rep_c83715|m.55869	GO:0055114	oxidation-reduction process
default-0_rep_c42826|m.29425	GO:0000398	mRNA splicing, via spliceosome
default-0_rep_c52639|m.36186	GO:0008152	metabolic process
default-0_c14141|m.11503	GO:0005975	carbohydrate metabolic process
default-0_dn_rep_c32|m.34	GO:0006412	translation
default-0_dn_rep_c354|m.392	GO:0007017	microtubule-based process
default-0_rep_c73|m.92	GO:0006556	S-adenosylmethionine biosynthetic process
default-0_rep_c57576|m.39552	GO:0006412	translation
default-0_rep_c25866|m.19774	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c15292|m.12334	GO:0006468	protein phosphorylation
default-0_rep_c15292|m.12333	GO:0006468	protein phosphorylation
default-0_c36424|m.25680	GO:0055114	oxidation-reduction process
default-0_rep_c1620|m.1394	GO:0055114	oxidation-reduction process
default-0_rep_c1620|m.1394	GO:0015936	coenzyme A metabolic process
default-0_rep_c50098|m.34675	GO:0042256	mature ribosome assembly
default-0_rep_c92043|m.59822	GO:0006412	translation
default-0_rep_c69657|m.46470	GO:0006412	translation
default-0_c106786|m.66119	GO:0010338	leaf formation
default-0_c106786|m.66119	GO:0006351	transcription, DNA-templated
default-0_c3010|m.2639	GO:0055085	transmembrane transport
default-0_rep_c42688|m.29317	GO:0009767	photosynthetic electron transport chain
default-0_rep_c42688|m.29317	GO:0019684	photosynthesis, light reaction
default-0_rep_c22060|m.17200	GO:0016192	vesicle-mediated transport
default-0_c81524|m.54666	GO:0006810	transport
default-0_rep_c37204|m.26122	GO:0006412	translation
default-0_rep_c51137|m.35314	GO:0006546	glycine catabolic process
default-0_rep_c51137|m.35314	GO:0055114	oxidation-reduction process
default-0_c47871|m.33161	GO:0006629	lipid metabolic process
default-0_rep_c2001|m.1734	GO:0015937	coenzyme A biosynthetic process
default-0_rep_c56736|m.39004	GO:0006412	translation
default-0_c93955|m.60667	GO:0008152	metabolic process
default-0_c90633|m.59195	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
default-0_c14717|m.11921	GO:0006807	nitrogen compound metabolic process
default-0_c93955|m.60668	GO:0008152	metabolic process
default-0_rep_c380|m.417	GO:0006950	response to stress
default-0_rep_c56894|m.39115	GO:0006457	protein folding
default-0_rep_c66036|m.44717	GO:0055085	transmembrane transport
default-0_c71271|m.47502	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c4693|m.4152	GO:0008295	spermidine biosynthetic process
default-0_rep_c4693|m.4152	GO:0006597	spermine biosynthetic process
default-0_c8931|m.7559	GO:0055114	oxidation-reduction process
default-0_c8931|m.7559	GO:0008152	metabolic process
default-0_dn_rep_c47898|m.33187	GO:0006412	translation
default-0_rep_c111546|m.68963	GO:0006396	RNA processing
default-0_rep_c59643|m.40862	GO:0006355	regulation of transcription, DNA-templated
default-0_c43618|m.30087	GO:0006412	translation
default-0_dn_rep_c356|m.394	GO:0009765	photosynthesis, light harvesting
default-0_rep_c110210|m.68312	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c58923|m.40417	GO:0009765	photosynthesis, light harvesting
default-0_c79629|m.53532	GO:0007165	signal transduction
default-0_rep_c52483|m.36095	GO:0055114	oxidation-reduction process
default-0_rep_c52483|m.36095	GO:0016226	iron-sulfur cluster assembly
default-0_rep_c63225|m.43084	GO:0006508	proteolysis
default-0_c16904|m.13520	GO:0055114	oxidation-reduction process
default-0_rep_c63420|m.43204	GO:0006412	translation
default-0_rep_c38693|m.26967	GO:0006810	transport
default-0_rep_c116118|m.71379	GO:0030244	cellulose biosynthetic process
default-0_rep_c116772|m.71702	GO:0008152	metabolic process
default-0_c15245|m.12296	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
default-0_rep_c37895|m.26511	GO:0006108	malate metabolic process
default-0_rep_c37895|m.26511	GO:0055114	oxidation-reduction process
default-0_c48928|m.33887	GO:0006810	transport
default-0_c12522|m.10301	GO:0006470	protein dephosphorylation
default-0_c34745|m.24793	GO:0055085	transmembrane transport
default-0_c34745|m.24791	GO:0055085	transmembrane transport
default-0_rep_c35246|m.25050	GO:0006412	translation
default-0_rep_c43329|m.29844	GO:0006096	glycolytic process
default-0_rep_c16582|m.13291	GO:0006298	mismatch repair
default-0_rep_c43372|m.29881	GO:0006457	protein folding
default-0_rep_c95273|m.61274	GO:0006412	translation
default-0_rep_c29321|m.21857	GO:0006810	transport
default-0_rep_c47202|m.32711	GO:0007165	signal transduction
default-0_rep_c3387|m.2964	GO:0006508	proteolysis
default-0_rep_c59832|m.40973	GO:0006414	translational elongation
default-0_rep_c44178|m.30546	GO:0006412	translation
default-0_c35317|m.25079	GO:0005975	carbohydrate metabolic process
default-0_rep_c72938|m.48946	GO:0006468	protein phosphorylation
default-0_rep_c72119|m.48276	GO:0007264	small GTPase mediated signal transduction
default-0_c115646|m.71135	GO:0006887	exocytosis
default-0_c71820|m.48024	GO:0000398	mRNA splicing, via spliceosome
default-0_rep_c55019|m.37783	GO:0006508	proteolysis
default-0_c13005|m.10651	GO:0006631	fatty acid metabolic process
default-0_c13005|m.10651	GO:0055114	oxidation-reduction process
default-0_rep_c90134|m.59004	GO:0006397	mRNA processing
default-0_rep_c30570|m.22618	GO:0055114	oxidation-reduction process
default-0_rep_c62542|m.42661	GO:0006334	nucleosome assembly
default-0_rep_c88352|m.58252	GO:0006412	translation
default-0_rep_c67745|m.45629	GO:0006334	nucleosome assembly
default-0_c86142|m.57141	GO:0055114	oxidation-reduction process
default-0_c21292|m.16667	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c4338|m.3820	GO:0006412	translation
default-0_rep_c54634|m.37501	GO:0006412	translation
default-0_rep_c81348|m.54570	GO:0005975	carbohydrate metabolic process
default-0_rep_c53251|m.36585	GO:0006412	translation
default-0_c24980|m.19174	GO:0006364	rRNA processing
default-0_rep_c54129|m.37176	GO:0035556	intracellular signal transduction
default-0_c107051|m.66294	GO:0009298	GDP-mannose biosynthetic process
default-0_c107051|m.66294	GO:0005975	carbohydrate metabolic process
default-0_rep_c13727|m.11207	GO:0006355	regulation of transcription, DNA-templated
default-0_c72674|m.48751	GO:0006725	cellular aromatic compound metabolic process
default-0_dn_rep_c64957|m.44098	GO:0006412	translation
default-0_rep_c20837|m.16374	GO:0006412	translation
default-0_rep_c96540|m.61853	GO:0006355	regulation of transcription, DNA-templated
default-0_c100045|m.63144	GO:0055114	oxidation-reduction process
default-0_c100045|m.63144	GO:0006979	response to oxidative stress
default-0_rep_c35416|m.25123	GO:0008152	metabolic process
default-0_rep_c82034|m.54943	GO:0006412	translation
default-0_rep_c56973|m.39170	GO:0006412	translation
default-0_c7779|m.6677	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c54950|m.37735	GO:0006412	translation
default-0_rep_c96561|m.61864	GO:0006412	translation
default-0_rep_c2975|m.2605	GO:0006886	intracellular protein transport
default-0_rep_c2975|m.2605	GO:0006913	nucleocytoplasmic transport
default-0_rep_c2975|m.2605	GO:0007165	signal transduction
default-0_rep_c2975|m.2605	GO:0015031	protein transport
default-0_rep_c2975|m.2605	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c45170|m.31307	GO:0015979	photosynthesis
default-0_c5761|m.5016	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c95023|m.61150	GO:0005975	carbohydrate metabolic process
default-0_rep_c4884|m.4311	GO:0006694	steroid biosynthetic process
default-0_c80345|m.53991	GO:0006351	transcription, DNA-templated
default-0_c90151|m.59012	GO:0006468	protein phosphorylation
default-0_rep_c116951|m.71803	GO:0006412	translation
default-0_c25644|m.19635	GO:0009058	biosynthetic process
default-0_rep_c37837|m.26485	GO:0055114	oxidation-reduction process
default-0_c81410|m.54598	GO:0006486	protein glycosylation
default-0_rep_c65969|m.44681	GO:0007017	microtubule-based process
default-0_rep_c12657|m.10400	GO:0005975	carbohydrate metabolic process
default-0_rep_c5193|m.4577	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
default-0_rep_c67843|m.45661	GO:0006412	translation
default-0_c70964|m.47237	GO:0008152	metabolic process
default-0_rep_c116259|m.71469	GO:0006096	glycolytic process
default-0_rep_c12240|m.10100	GO:0015991	ATP hydrolysis coupled proton transport
default-0_c114070|m.70271	GO:0005975	carbohydrate metabolic process
default-0_rep_c3991|m.3503	GO:0006102	isocitrate metabolic process
default-0_rep_c3991|m.3503	GO:0055114	oxidation-reduction process
default-0_rep_c98570|m.62565	GO:0006412	translation
default-0_dn_rep_c108041|m.66978	GO:0009765	photosynthesis, light harvesting
default-0_c84109|m.56068	GO:0008152	metabolic process
default-0_rep_c79981|m.53768	GO:0030244	cellulose biosynthetic process
default-0_rep_c49933|m.34591	GO:0006508	proteolysis
default-0_rep_c43349|m.29864	GO:0006412	translation
default-0_rep_c108564|m.67317	GO:0034227	tRNA thio-modification
default-0_c75431|m.50827	GO:0006855	drug transmembrane transport
default-0_c75431|m.50827	GO:0055085	transmembrane transport
default-0_rep_c67817|m.45651	GO:0006412	translation
default-0_rep_c63364|m.43169	GO:0006412	translation
default-0_rep_c55706|m.38318	GO:0006508	proteolysis
default-0_rep_c106446|m.65903	GO:0000413	protein peptidyl-prolyl isomerization
default-0_rep_c106446|m.65903	GO:0006457	protein folding
default-0_rep_c56890|m.39112	GO:0006412	translation
default-0_c24956|m.19158	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c2856|m.2477	GO:0006893	Golgi to plasma membrane transport
default-0_rep_c6424|m.5577	GO:0006396	RNA processing
default-0_rep_c97085|m.62046	GO:0006412	translation
default-0_rep_c106861|m.66167	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_c80219|m.53916	GO:0055114	oxidation-reduction process
default-0_rep_c68241|m.45852	GO:0006412	translation
default-0_rep_c64475|m.43815	GO:0006457	protein folding
default-0_c71375|m.47598	GO:0016485	protein processing
default-0_rep_c13920|m.11358	GO:0000266	mitochondrial fission
default-0_rep_c42412|m.29148	GO:0006886	intracellular protein transport
default-0_rep_c64977|m.44109	GO:0006412	translation
default-0_rep_c56410|m.38803	GO:0006470	protein dephosphorylation
default-0_rep_c70900|m.47178	GO:0019441	tryptophan catabolic process to kynurenine
default-0_rep_c48242|m.33422	GO:0006269	DNA replication, synthesis of RNA primer
default-0_rep_c16209|m.13031	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c16209|m.13031	GO:0006352	DNA-templated transcription, initiation
default-0_c71942|m.48129	GO:0015995	chlorophyll biosynthetic process
default-0_rep_c54520|m.37429	GO:0009765	photosynthesis, light harvesting
default-0_rep_c110849|m.68639	GO:0008152	metabolic process
default-0_rep_c31911|m.23282	GO:0006413	translational initiation
default-0_c17573|m.13981	GO:0032259	methylation
default-0_c17573|m.13980	GO:0032259	methylation
default-0_rep_c108428|m.67232	GO:0006556	S-adenosylmethionine biosynthetic process
default-0_c5850|m.5108	GO:0006351	transcription, DNA-templated
default-0_rep_c61662|m.42156	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c66624|m.45061	GO:0006412	translation
default-0_rep_c44090|m.30472	GO:0055114	oxidation-reduction process
default-0_c21625|m.16914	GO:0006629	lipid metabolic process
default-0_c21625|m.16914	GO:0007165	signal transduction
default-0_c21625|m.16914	GO:0035556	intracellular signal transduction
default-0_rep_c8576|m.7295	GO:0006546	glycine catabolic process
default-0_rep_c23931|m.18443	GO:0006412	translation
default-0_rep_c72579|m.48671	GO:0006810	transport
default-0_rep_c17148|m.13682	GO:0006412	translation
default-0_rep_c58617|m.40206	GO:0006412	translation
default-0_c8555|m.7280	GO:0006098	pentose-phosphate shunt
default-0_c8555|m.7280	GO:0055114	oxidation-reduction process
default-0_rep_c54671|m.37533	GO:0008152	metabolic process
default-0_rep_c85507|m.56802	GO:0006470	protein dephosphorylation
default-0_rep_c54769|m.37602	GO:0006412	translation
default-0_c39622|m.27511	GO:0008152	metabolic process
default-0_c17484|m.13930	GO:0055114	oxidation-reduction process
default-0_rep_c53324|m.36646	GO:0055114	oxidation-reduction process
default-0_rep_c59508|m.40775	GO:0006351	transcription, DNA-templated
default-0_rep_c80895|m.54311	GO:0006810	transport
default-0_rep_c80895|m.54311	GO:0055085	transmembrane transport
default-0_dn_rep_c43083|m.29648	GO:0006412	translation
default-0_rep_c115316|m.70977	GO:0005975	carbohydrate metabolic process
default-0_c109118|m.67678	GO:0006355	regulation of transcription, DNA-templated
default-0_c109118|m.67679	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c40358|m.27918	GO:0006470	protein dephosphorylation
default-0_rep_c40358|m.27919	GO:0006470	protein dephosphorylation
default-0_rep_c73348|m.49275	GO:0006352	DNA-templated transcription, initiation
default-0_rep_c73348|m.49275	GO:0006355	regulation of transcription, DNA-templated
default-0_c37459|m.26262	GO:0015780	nucleotide-sugar transport
default-0_rep_c16430|m.13190	GO:0006412	translation
default-0_c9049|m.7653	GO:0006468	protein phosphorylation
default-0_rep_c14532|m.11782	GO:0019684	photosynthesis, light reaction
default-0_rep_c14532|m.11782	GO:0009772	photosynthetic electron transport in photosystem II
default-0_rep_c73869|m.49681	GO:0006508	proteolysis
default-0_rep_c2780|m.2426	GO:0006228	UTP biosynthetic process
default-0_rep_c2780|m.2426	GO:0006241	CTP biosynthetic process
default-0_rep_c2780|m.2426	GO:0006183	GTP biosynthetic process
default-0_rep_c2780|m.2426	GO:0006165	nucleoside diphosphate phosphorylation
default-0_rep_c15003|m.12107	GO:0006351	transcription, DNA-templated
default-0_rep_c112663|m.69483	GO:0008654	phospholipid biosynthetic process
default-0_rep_c466|m.498	GO:0006457	protein folding
default-0_c57453|m.39468	GO:0006412	translation
default-0_dn_rep_c72682|m.48757	GO:0007017	microtubule-based process
default-0_rep_c5696|m.4973	GO:0055114	oxidation-reduction process
default-0_rep_c16537|m.13263	GO:0006508	proteolysis
default-0_c71485|m.47697	GO:0006396	RNA processing
default-0_rep_c33095|m.23939	GO:0006950	response to stress
default-0_rep_c53778|m.36934	GO:0015937	coenzyme A biosynthetic process
default-0_rep_c13028|m.10672	GO:0006952	defense response
default-0_rep_c13028|m.10672	GO:0009607	response to biotic stimulus
default-0_rep_c113561|m.69977	GO:0015991	ATP hydrolysis coupled proton transport
default-0_rep_c68207|m.45842	GO:0006412	translation
default-0_c15415|m.12423	GO:0055114	oxidation-reduction process
default-0_rep_c43297|m.29816	GO:0006412	translation
default-0_rep_c108868|m.67524	GO:0006357	regulation of transcription from RNA polymerase II promoter
default-0_rep_c46552|m.32254	GO:0015979	photosynthesis
default-0_rep_c37170|m.26103	GO:0055114	oxidation-reduction process
default-0_rep_c44586|m.30868	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c44586|m.30868	GO:0006334	nucleosome assembly
default-0_rep_c9968|m.8390	GO:0009082	branched-chain amino acid biosynthetic process
default-0_rep_c43449|m.29946	GO:0008652	cellular amino acid biosynthetic process
default-0_c19899|m.15716	GO:0006468	protein phosphorylation
default-0_dn_rep_c38788|m.27027	GO:0006412	translation
default-0_rep_c15901|m.12801	GO:0006452	translational frameshifting
default-0_rep_c15901|m.12801	GO:0045901	positive regulation of translational elongation
default-0_rep_c15901|m.12801	GO:0045905	positive regulation of translational termination
default-0_rep_c69121|m.46254	GO:0006364	rRNA processing
default-0_rep_c53483|m.36749	GO:0007067	mitotic nuclear division
default-0_rep_c53483|m.36749	GO:0007049	cell cycle
