#gene_id	#pathway_name	#pathway_id	#ec_number
default-0_rep_c76100|m.51252	Pyrimidine metabolism	00240	2.7.7.7
default-0_rep_c76100|m.51252	Purine metabolism	00230	2.7.7.7
default-0_rep_c3896|m.3412	Phenylalanine metabolism	00360	4.3.1.24
default-0_rep_c3896|m.3412	Phenylpropanoid biosynthesis	00940	4.3.1.24
default-0_rep_c104882|m.65215	Aminoacyl-tRNA biosynthesis	00970	6.1.1.11
default-0_rep_c114938|m.70776	Photosynthesis	00195	3.6.3.14
default-0_rep_c114938|m.70776	Oxidative phosphorylation	00190	3.6.3.14
default-0_rep_c81367|m.54582	Purine metabolism	00230	2.7.4.6
default-0_rep_c81367|m.54582	Pyrimidine metabolism	00240	2.7.4.6
default-0_rep_c87966|m.58095	Cysteine and methionine metabolism	00270	2.1.1.14
default-0_rep_c87966|m.58095	Selenocompound metabolism	00450	2.1.1.14
default-0_rep_c99829|m.63066	beta-Alanine metabolism	00410	6.3.2.1
default-0_rep_c99829|m.63066	Pantothenate and CoA biosynthesis	00770	6.3.2.1
default-0_rep_c100964|m.63543	Cysteine and methionine metabolism	00270	2.5.1.6
default-0_rep_c29520|m.21971	Cysteine and methionine metabolism	00270	4.1.1.50
default-0_rep_c29520|m.21971	Arginine and proline metabolism	00330	4.1.1.50
default-0_c83279|m.55596	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_c80665|m.54171	Cyanoamino acid metabolism	00460	2.3.2.2
default-0_c80665|m.54171	Taurine and hypotaurine metabolism	00430	2.3.2.2
default-0_c80665|m.54171	Glutathione metabolism	00480	2.3.2.2
default-0_c80665|m.54171	Glutathione metabolism	00480	3.4.19.13
default-0_c80665|m.54170	Cyanoamino acid metabolism	00460	2.3.2.2
default-0_c80665|m.54170	Taurine and hypotaurine metabolism	00430	2.3.2.2
default-0_c80665|m.54170	Glutathione metabolism	00480	2.3.2.2
default-0_c80665|m.54170	Glutathione metabolism	00480	3.4.19.13
default-0_rep_c64035|m.43539	Pentose phosphate pathway	00030	2.2.1.2
default-0_c99421|m.62909	Starch and sucrose metabolism	00500	3.2.1.4
default-0_rep_c93727|m.60552	Purine metabolism	00230	2.7.1.20
default-0_rep_c55054|m.37811	Terpenoid backbone biosynthesis	00900	1.17.1.2
default-0_rep_c47004|m.32580	Phenylalanine metabolism	00360	2.6.1.1
default-0_rep_c47004|m.32580	Phenylalanine, tyrosine and tryptophan biosynthesis	00400	2.6.1.1
default-0_rep_c47004|m.32580	Tyrosine metabolism	00350	2.6.1.1
default-0_rep_c47004|m.32580	Alanine, aspartate and glutamate metabolism	00250	2.6.1.1
default-0_rep_c47004|m.32580	Novobiocin biosynthesis	00401	2.6.1.1
default-0_rep_c47004|m.32580	Isoquinoline alkaloid biosynthesis	00950	2.6.1.1
default-0_rep_c47004|m.32580	Tropane, piperidine and pyridine alkaloid biosynthesis	00960	2.6.1.1
default-0_rep_c47004|m.32580	Carbon fixation in photosynthetic organisms	00710	2.6.1.1
default-0_rep_c47004|m.32580	Cysteine and methionine metabolism	00270	2.6.1.1
default-0_rep_c47004|m.32580	Arginine and proline metabolism	00330	2.6.1.1
default-0_rep_c47004|m.32580	Arginine biosynthesis	00220	2.6.1.1
default-0_c36667|m.25825	Starch and sucrose metabolism	00500	3.2.1.39
default-0_c79229|m.53270	Aminoacyl-tRNA biosynthesis	00970	6.1.1.3
default-0_rep_c42854|m.29452	Amino sugar and nucleotide sugar metabolism	00520	3.5.99.6
default-0_rep_c42854|m.29452	Pentose phosphate pathway	00030	3.1.1.31
default-0_c75186|m.50657	Porphyrin and chlorophyll metabolism	00860	1.3.3.3
default-0_rep_c50725|m.35063	Phenylalanine, tyrosine and tryptophan biosynthesis	00400	5.4.99.5
default-0_rep_c42118|m.28956	Pyrimidine metabolism	00240	2.7.7.7
default-0_rep_c42118|m.28956	Purine metabolism	00230	2.7.7.7
default-0_c39508|m.27456	Pyrimidine metabolism	00240	2.7.7.6
default-0_c39508|m.27456	Purine metabolism	00230	2.7.7.6
default-0_c113213|m.69789	Other types of O-glycan biosynthesis	00514	2.4.1.221
default-0_rep_c96954|m.62001	Photosynthesis	00195	3.6.3.14
default-0_rep_c96954|m.62001	Oxidative phosphorylation	00190	3.6.3.14
default-0_rep_c1175|m.1044	Fatty acid elongation	00062	2.3.1.199
default-0_c9066|m.7665	Steroid biosynthesis	00100	5.5.1.9
default-0_rep_c94854|m.61074	Pyrimidine metabolism	00240	2.7.7.7
default-0_rep_c94854|m.61074	Purine metabolism	00230	2.7.7.7
default-0_c25194|m.19308	Fatty acid elongation	00062	2.3.1.199
default-0_rep_c71273|m.47503	Terpenoid backbone biosynthesis	00900	2.3.3.10
default-0_rep_c71273|m.47503	Synthesis and degradation of ketone bodies	00072	2.3.3.10
default-0_rep_c71273|m.47503	Valine, leucine and isoleucine degradation	00280	2.3.3.10
default-0_rep_c71273|m.47503	Butanoate metabolism	00650	2.3.3.10
default-0_rep_c76403|m.51449	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_c74675|m.50289	Pantothenate and CoA biosynthesis	00770	2.7.1.33
default-0_c38015|m.26569	Valine, leucine and isoleucine degradation	00280	2.3.1.168
default-0_c38015|m.26569	Propanoate metabolism	00640	2.3.1.168
default-0_c75429|m.50826	Starch and sucrose metabolism	00500	3.2.1.39
default-0_rep_c18297|m.14500	Pyrimidine metabolism	00240	2.7.7.6
default-0_rep_c18297|m.14500	Purine metabolism	00230	2.7.7.6
default-0_rep_c43576|m.30056	Lipoic acid metabolism	00785	2.8.1.8
default-0_rep_c71033|m.47283	Lipoic acid metabolism	00785	2.8.1.8
default-0_rep_c4159|m.3651	Oxidative phosphorylation	00190	3.6.1.1
default-0_c74700|m.50310	Glycolysis / Gluconeogenesis	00010	2.7.1.1
default-0_c74700|m.50310	Fructose and mannose metabolism	00051	2.7.1.1
default-0_c74700|m.50310	Amino sugar and nucleotide sugar metabolism	00520	2.7.1.1
default-0_c74700|m.50310	Butirosin and neomycin biosynthesis	00524	2.7.1.1
default-0_c74700|m.50310	Streptomycin biosynthesis	00521	2.7.1.1
default-0_c74700|m.50310	Galactose metabolism	00052	2.7.1.1
default-0_c74700|m.50310	Starch and sucrose metabolism	00500	2.7.1.1
default-0_rep_c29568|m.22004	Purine metabolism	00230	2.7.4.3
default-0_rep_c54523|m.37432	Vitamin B6 metabolism	00750	4.3.3.6
default-0_rep_c23069|m.17866	Glyoxylate and dicarboxylate metabolism	00630	1.1.1.37
default-0_rep_c23069|m.17866	Methane metabolism	00680	1.1.1.37
default-0_rep_c23069|m.17866	Carbon fixation pathways in prokaryotes	00720	1.1.1.37
default-0_rep_c23069|m.17866	Carbon fixation in photosynthetic organisms	00710	1.1.1.37
default-0_rep_c23069|m.17866	Pyruvate metabolism	00620	1.1.1.37
default-0_rep_c23069|m.17866	Cysteine and methionine metabolism	00270	1.1.1.37
default-0_rep_c23069|m.17866	Citrate cycle (TCA cycle)	00020	1.1.1.37
default-0_c73877|m.49686	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_rep_c3151|m.2774	Ascorbate and aldarate metabolism	00053	1.13.99.1
default-0_rep_c3151|m.2774	Inositol phosphate metabolism	00562	1.13.99.1
default-0_rep_c20422|m.16125	Starch and sucrose metabolism	00500	3.2.1.39
default-0_rep_c63521|m.43265	Riboflavin metabolism	00740	2.5.1.78
default-0_rep_c16383|m.13152	Phenylalanine metabolism	00360	4.3.1.24
default-0_rep_c16383|m.13152	Phenylpropanoid biosynthesis	00940	4.3.1.24
default-0_rep_c6785|m.5882	Lipoic acid metabolism	00785	2.8.1.8
default-0_rep_c39227|m.27279	Peptidoglycan biosynthesis	00550	2.7.8.13
default-0_c22751|m.17660	Starch and sucrose metabolism	00500	3.1.1.11
default-0_c22751|m.17660	Pentose and glucuronate interconversions	00040	3.1.1.11
default-0_rep_c55658|m.38283	Flavonoid biosynthesis	00941	5.5.1.6
default-0_rep_c55|m.68	Purine metabolism	00230	2.4.2.7
default-0_rep_c27954|m.21021	Cysteine and methionine metabolism	00270	3.3.1.1
default-0_rep_c61320|m.41934	Purine metabolism	00230	2.7.1.20
default-0_c107243|m.66424	Starch and sucrose metabolism	00500	3.2.1.26
default-0_c107243|m.66424	Galactose metabolism	00052	3.2.1.26
default-0_rep_c69767|m.46531	Fatty acid elongation	00062	2.3.1.199
default-0_rep_c69767|m.46531	Fatty acid biosynthesis	00061	2.3.1.180
default-0_rep_c2612|m.2291	Glycolysis / Gluconeogenesis	00010	5.4.2.12
default-0_rep_c2612|m.2291	Methane metabolism	00680	5.4.2.12
default-0_rep_c2612|m.2291	Glycine, serine and threonine metabolism	00260	5.4.2.12
default-0_rep_c40934|m.28280	Amino sugar and nucleotide sugar metabolism	00520	3.2.1.14
default-0_c2519|m.2217	Purine metabolism	00230	2.7.1.40
default-0_c2519|m.2217	Glycolysis / Gluconeogenesis	00010	2.7.1.40
default-0_c2519|m.2217	Pyruvate metabolism	00620	2.7.1.40
default-0_rep_c13753|m.11220	Ubiquinone and other terpenoid-quinone biosynthesis	00130	2.1.1.163
default-0_c73661|m.49528	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_rep_c59709|m.40903	Oxidative phosphorylation	00190	1.9.3.1
default-0_c105118|m.65319	Riboflavin metabolism	00740	2.5.1.78
default-0_rep_c52387|m.36038	Oxidative phosphorylation	00190	3.6.1.1
default-0_rep_c29439|m.21926	Terpenoid backbone biosynthesis	00900	1.17.1.2
default-0_c100384|m.63297	Other types of O-glycan biosynthesis	00514	2.4.1.221
default-0_c9574|m.8074	Cysteine and methionine metabolism	00270	3.1.3.77
default-0_rep_c106771|m.66107	One carbon pool by folate	00670	1.5.1.5
default-0_rep_c106771|m.66107	One carbon pool by folate	00670	3.5.4.9
default-0_rep_c106771|m.66107	Carbon fixation pathways in prokaryotes	00720	1.5.1.5
default-0_rep_c106771|m.66107	Carbon fixation pathways in prokaryotes	00720	3.5.4.9
default-0_c44806|m.31028	Tryptophan metabolism	00380	1.2.4.2
default-0_c44806|m.31028	Citrate cycle (TCA cycle)	00020	1.2.4.2
default-0_c44806|m.31028	Lysine degradation	00310	1.2.4.2
default-0_rep_c61161|m.41834	Terpenoid backbone biosynthesis	00900	2.3.3.10
default-0_rep_c61161|m.41834	Synthesis and degradation of ketone bodies	00072	2.3.3.10
default-0_rep_c61161|m.41834	Valine, leucine and isoleucine degradation	00280	2.3.3.10
default-0_rep_c61161|m.41834	Butanoate metabolism	00650	2.3.3.10
default-0_rep_c61663|m.42157	Pantothenate and CoA biosynthesis	00770	2.7.1.24
default-0_c15844|m.12757	Lipopolysaccharide biosynthesis	00540	2.5.1.55
default-0_rep_c32241|m.23471	Amino sugar and nucleotide sugar metabolism	00520	3.2.1.14
default-0_rep_c23262|m.17997	Pyrimidine metabolism	00240	2.7.7.6
default-0_rep_c23262|m.17997	Purine metabolism	00230	2.7.7.6
default-0_c72031|m.48195	Porphyrin and chlorophyll metabolism	00860	4.99.1.1
default-0_rep_c42973|m.29553	Purine metabolism	00230	3.5.3.26
default-0_rep_c35550|m.25192	Cyanoamino acid metabolism	00460	2.1.2.1
default-0_rep_c35550|m.25192	Glyoxylate and dicarboxylate metabolism	00630	2.1.2.1
default-0_rep_c35550|m.25192	Glycine, serine and threonine metabolism	00260	2.1.2.1
default-0_rep_c35550|m.25192	Methane metabolism	00680	2.1.2.1
default-0_rep_c35550|m.25192	One carbon pool by folate	00670	2.1.2.1
default-0_rep_c99581|m.62977	Oxidative phosphorylation	00190	3.6.1.1
default-0_rep_c28254|m.21202	Oxidative phosphorylation	00190	1.9.3.1
default-0_rep_c61361|m.41955	Methane metabolism	00680	4.2.1.11
default-0_rep_c61361|m.41955	Glycolysis / Gluconeogenesis	00010	4.2.1.11
default-0_rep_c34122|m.24465	Oxidative phosphorylation	00190	3.6.1.1
default-0_rep_c27795|m.20940	Glyoxylate and dicarboxylate metabolism	00630	4.1.1.39
default-0_rep_c27795|m.20940	Carbon fixation in photosynthetic organisms	00710	4.1.1.39
default-0_rep_c44862|m.31075	Photosynthesis	00195	3.6.3.14
default-0_rep_c44862|m.31075	Oxidative phosphorylation	00190	3.6.3.14
default-0_rep_c59664|m.40874	Terpenoid backbone biosynthesis	00900	5.3.3.2
default-0_c76448|m.51487	Fructose and mannose metabolism	00051	3.1.3.11
default-0_c76448|m.51487	Pentose phosphate pathway	00030	3.1.3.11
default-0_c76448|m.51487	Glycolysis / Gluconeogenesis	00010	3.1.3.11
default-0_c76448|m.51487	Methane metabolism	00680	3.1.3.11
default-0_c76448|m.51487	Carbon fixation in photosynthetic organisms	00710	3.1.3.11
default-0_c32792|m.23779	Purine metabolism	00230	3.5.3.26
default-0_rep_c89122|m.58566	Purine metabolism	00230	2.7.4.3
default-0_rep_c23264|m.17998	Carbon fixation pathways in prokaryotes	00720	4.1.1.31
default-0_rep_c23264|m.17998	Pyruvate metabolism	00620	4.1.1.31
default-0_rep_c23264|m.17998	Methane metabolism	00680	4.1.1.31
default-0_rep_c23264|m.17998	Carbon fixation in photosynthetic organisms	00710	4.1.1.31
default-0_rep_c114645|m.70609	Methane metabolism	00680	3.1.2.12
default-0_c20993|m.16471	Pentose and glucuronate interconversions	00040	4.2.2.2
default-0_rep_c61831|m.42259	Propanoate metabolism	00640	6.2.1.5
default-0_rep_c61831|m.42259	Carbon fixation pathways in prokaryotes	00720	2.3.3.8
default-0_rep_c61831|m.42259	Carbon fixation pathways in prokaryotes	00720	6.2.1.5
default-0_rep_c61831|m.42259	C5-Branched dibasic acid metabolism	00660	6.2.1.5
default-0_rep_c61831|m.42259	Citrate cycle (TCA cycle)	00020	2.3.3.8
default-0_rep_c61831|m.42259	Citrate cycle (TCA cycle)	00020	6.2.1.5
default-0_rep_c14540|m.11788	Cysteine and methionine metabolism	00270	4.1.1.50
default-0_rep_c14540|m.11788	Arginine and proline metabolism	00330	4.1.1.50
default-0_dn_rep_c41704|m.28696	Glyoxylate and dicarboxylate metabolism	00630	4.1.1.39
default-0_dn_rep_c41704|m.28696	Carbon fixation in photosynthetic organisms	00710	4.1.1.39
default-0_rep_c37895|m.26511	Glyoxylate and dicarboxylate metabolism	00630	1.1.1.37
default-0_rep_c37895|m.26511	Methane metabolism	00680	1.1.1.37
default-0_rep_c37895|m.26511	Carbon fixation pathways in prokaryotes	00720	1.1.1.37
default-0_rep_c37895|m.26511	Carbon fixation in photosynthetic organisms	00710	1.1.1.37
default-0_rep_c37895|m.26511	Pyruvate metabolism	00620	1.1.1.37
default-0_rep_c37895|m.26511	Cysteine and methionine metabolism	00270	1.1.1.37
default-0_rep_c37895|m.26511	Citrate cycle (TCA cycle)	00020	1.1.1.37
default-0_c14608|m.11841	Pyruvate metabolism	00620	3.6.1.7
default-0_c14608|m.11841	Aminobenzoate degradation	00627	3.6.1.7
default-0_rep_c64497|m.43826	Pentose phosphate pathway	00030	4.1.2.13
default-0_rep_c64497|m.43826	Carbon fixation in photosynthetic organisms	00710	4.1.2.13
default-0_rep_c64497|m.43826	Glycolysis / Gluconeogenesis	00010	4.1.2.13
default-0_rep_c64497|m.43826	Fructose and mannose metabolism	00051	4.1.2.13
default-0_rep_c64497|m.43826	Methane metabolism	00680	4.1.2.13
default-0_rep_c45005|m.31186	Fatty acid elongation	00062	4.2.1.134
default-0_c91588|m.59598	Pyrimidine metabolism	00240	6.3.5.5
default-0_c91588|m.59598	Alanine, aspartate and glutamate metabolism	00250	6.3.5.5
default-0_rep_c1241|m.1091	Fatty acid biosynthesis	00061	1.1.1.100
default-0_rep_c1241|m.1091	Biotin metabolism	00780	1.1.1.100
default-0_c14189|m.11542	Nitrogen metabolism	00910	4.2.1.1
default-0_rep_c50946|m.35189	Photosynthesis	00195	3.6.3.14
default-0_rep_c50946|m.35189	Oxidative phosphorylation	00190	3.6.3.14
default-0_c60489|m.41439	Drug metabolism - other enzymes	00983	1.1.1.205
default-0_c60489|m.41439	Purine metabolism	00230	1.1.1.205
default-0_rep_c60538|m.41474	Starch and sucrose metabolism	00500	3.2.1.39
default-0_rep_c105222|m.65359	Pyrimidine metabolism	00240	2.7.7.7
default-0_rep_c105222|m.65359	Purine metabolism	00230	2.7.7.7
default-0_c13731|m.11209	Pyrimidine metabolism	00240	2.7.7.6
default-0_c13731|m.11209	Purine metabolism	00230	2.7.7.6
default-0_rep_c110149|m.68277	Photosynthesis	00195	3.6.3.14
default-0_rep_c110149|m.68277	Oxidative phosphorylation	00190	3.6.3.14
default-0_rep_c9187|m.7763	Carotenoid biosynthesis	00906	5.2.1.14
default-0_rep_c44925|m.31129	Glycolysis / Gluconeogenesis	00010	2.7.1.11
default-0_rep_c44925|m.31129	Galactose metabolism	00052	2.7.1.11
default-0_rep_c44925|m.31129	Fructose and mannose metabolism	00051	2.7.1.11
default-0_rep_c44925|m.31129	Pentose phosphate pathway	00030	2.7.1.11
default-0_rep_c44925|m.31129	Methane metabolism	00680	2.7.1.11
default-0_rep_c25476|m.19522	Terpenoid backbone biosynthesis	00900	1.1.1.34
default-0_rep_c669|m.661	Vitamin B6 metabolism	00750	4.3.3.6
default-0_rep_c48182|m.33378	Starch and sucrose metabolism	00500	3.1.1.11
default-0_rep_c48182|m.33378	Pentose and glucuronate interconversions	00040	3.1.1.11
default-0_rep_c27469|m.20752	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_rep_c50333|m.34813	Purine metabolism	00230	2.7.1.40
default-0_rep_c50333|m.34813	Glycolysis / Gluconeogenesis	00010	2.7.1.40
default-0_rep_c50333|m.34813	Pyruvate metabolism	00620	2.7.1.40
default-0_rep_c8696|m.7393	Glycine, serine and threonine metabolism	00260	2.1.2.10
default-0_rep_c8696|m.7393	One carbon pool by folate	00670	2.1.2.10
default-0_rep_c107856|m.66857	Arginine and proline metabolism	00330	1.5.1.2
default-0_c71293|m.47524	Cysteine and methionine metabolism	00270	4.2.1.109
default-0_rep_c95816|m.61519	Starch and sucrose metabolism	00500	3.2.1.39
default-0_rep_c83030|m.55459	Photosynthesis	00195	3.6.3.14
default-0_rep_c83030|m.55459	Oxidative phosphorylation	00190	3.6.3.14
default-0_rep_c46902|m.32508	Glyoxylate and dicarboxylate metabolism	00630	1.1.1.37
default-0_rep_c46902|m.32508	Methane metabolism	00680	1.1.1.37
default-0_rep_c46902|m.32508	Carbon fixation pathways in prokaryotes	00720	1.1.1.37
default-0_rep_c46902|m.32508	Carbon fixation in photosynthetic organisms	00710	1.1.1.37
default-0_rep_c46902|m.32508	Pyruvate metabolism	00620	1.1.1.37
default-0_rep_c46902|m.32508	Cysteine and methionine metabolism	00270	1.1.1.37
default-0_rep_c46902|m.32508	Citrate cycle (TCA cycle)	00020	1.1.1.37
default-0_rep_c20991|m.16470	Pyruvate metabolism	00620	4.4.1.5
default-0_c77794|m.52337	Pantothenate and CoA biosynthesis	00770	2.1.2.11
default-0_rep_c5291|m.4655	Porphyrin and chlorophyll metabolism	00860	1.3.3.3
default-0_rep_c101|m.122	Methane metabolism	00680	4.2.1.11
default-0_rep_c101|m.122	Glycolysis / Gluconeogenesis	00010	4.2.1.11
default-0_rep_c82411|m.55134	Cysteine and methionine metabolism	00270	3.3.1.1
default-0_rep_c74473|m.50115	Pyrimidine metabolism	00240	3.5.4.5
default-0_rep_c74473|m.50115	Drug metabolism - other enzymes	00983	3.5.4.5
default-0_c76974|m.51833	N-Glycan biosynthesis	00510	2.4.1.131
default-0_c76974|m.51833	Various types of N-glycan biosynthesis	00513	2.4.1.131
default-0_rep_c13540|m.11058	Fructose and mannose metabolism	00051	3.1.3.11
default-0_rep_c13540|m.11058	Pentose phosphate pathway	00030	3.1.3.11
default-0_rep_c13540|m.11058	Glycolysis / Gluconeogenesis	00010	3.1.3.11
default-0_rep_c13540|m.11058	Methane metabolism	00680	3.1.3.11
default-0_rep_c13540|m.11058	Carbon fixation in photosynthetic organisms	00710	3.1.3.11
default-0_c11066|m.9218	Cyanoamino acid metabolism	00460	4.4.1.9
default-0_rep_c93084|m.60270	Pyrimidine metabolism	00240	2.7.7.6
default-0_rep_c93084|m.60270	Purine metabolism	00230	2.7.7.6
default-0_rep_c52998|m.36407	Propanoate metabolism	00640	6.2.1.5
default-0_rep_c52998|m.36407	Carbon fixation pathways in prokaryotes	00720	2.3.3.8
default-0_rep_c52998|m.36407	Carbon fixation pathways in prokaryotes	00720	6.2.1.5
default-0_rep_c52998|m.36407	C5-Branched dibasic acid metabolism	00660	6.2.1.5
default-0_rep_c52998|m.36407	Citrate cycle (TCA cycle)	00020	2.3.3.8
default-0_rep_c52998|m.36407	Citrate cycle (TCA cycle)	00020	6.2.1.5
default-0_rep_c55183|m.37913	Ubiquinone and other terpenoid-quinone biosynthesis	00130	1.6.5.2
default-0_rep_c68024|m.45746	Phenylalanine metabolism	00360	4.3.1.24
default-0_rep_c68024|m.45746	Phenylpropanoid biosynthesis	00940	4.3.1.24
default-0_c93922|m.60648	Arginine and proline metabolism	00330	4.1.1.19
default-0_rep_c101950|m.63969	Thiamine metabolism	00730	2.8.1.10
default-0_rep_c101950|m.63969	Vitamin B6 metabolism	00750	4.3.3.6
default-0_rep_c107963|m.66928	Purine metabolism	00230	2.7.1.40
default-0_rep_c107963|m.66928	Glycolysis / Gluconeogenesis	00010	2.7.1.40
default-0_rep_c107963|m.66928	Pyruvate metabolism	00620	2.7.1.40
default-0_rep_c93712|m.60543	Purine metabolism	00230	3.6.1.19
default-0_rep_c93712|m.60543	Drug metabolism - other enzymes	00983	3.6.1.19
