#gene_id	#GO_term	#Description
default-0_c105883|m.65633	GO:0035091	phosphatidylinositol binding
default-0_c17845|m.14179	GO:0046982	protein heterodimerization activity
default-0_c17845|m.14179	GO:0043565	sequence-specific DNA binding
default-0_rep_c11089|m.9236	GO:0003824	catalytic activity
default-0_rep_c11089|m.9236	GO:0030976	thiamine pyrophosphate binding
default-0_rep_c11089|m.9236	GO:0000287	magnesium ion binding
default-0_c73164|m.49118	GO:0008173	RNA methyltransferase activity
default-0_c73164|m.49118	GO:0003723	RNA binding
default-0_rep_c25873|m.19778	GO:0046982	protein heterodimerization activity
default-0_rep_c25873|m.19778	GO:0003677	DNA binding
default-0_rep_c107904|m.66894	GO:0016758	transferase activity, transferring hexosyl groups
default-0_rep_c63365|m.43171	GO:0003735	structural constituent of ribosome
default-0_rep_c47389|m.32847	GO:0015035	protein disulfide oxidoreductase activity
default-0_rep_c47389|m.32847	GO:0009055	electron carrier activity
default-0_rep_c111082|m.68761	GO:0005524	ATP binding
default-0_rep_c42957|m.29540	GO:0015078	hydrogen ion transmembrane transporter activity
default-0_rep_c32797|m.23784	GO:0070569	uridylyltransferase activity
default-0_c73423|m.49336	GO:0004842	ubiquitin-protein transferase activity
default-0_rep_c68813|m.46139	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
default-0_rep_c48286|m.33449	GO:0051087	chaperone binding
default-0_rep_c13596|m.11093	GO:0003735	structural constituent of ribosome
default-0_rep_c75795|m.51065	GO:0003677	DNA binding
default-0_rep_c282|m.316	GO:0005524	ATP binding
default-0_rep_c43898|m.30319	GO:0030234	enzyme regulator activity
default-0_rep_c71952|m.48135	GO:0003735	structural constituent of ribosome
default-0_rep_c71952|m.48135	GO:0019843	rRNA binding
default-0_rep_c76421|m.51466	GO:0016491	oxidoreductase activity
default-0_c13731|m.11209	GO:0003899	DNA-directed RNA polymerase activity
default-0_c13731|m.11209	GO:0003677	DNA binding
default-0_rep_c59735|m.40918	GO:0003735	structural constituent of ribosome
default-0_rep_c59735|m.40918	GO:0003723	RNA binding
default-0_rep_c93878|m.60622	GO:0003924	GTPase activity
default-0_rep_c93878|m.60622	GO:0005200	structural constituent of cytoskeleton
default-0_rep_c93878|m.60622	GO:0005525	GTP binding
default-0_rep_c66698|m.45101	GO:0003677	DNA binding
default-0_rep_c66698|m.45101	GO:0046982	protein heterodimerization activity
default-0_rep_c91170|m.59412	GO:0008289	lipid binding
default-0_rep_c40262|m.27865	GO:0003735	structural constituent of ribosome
default-0_rep_c3817|m.3341	GO:0005506	iron ion binding
default-0_rep_c3817|m.3341	GO:0016491	oxidoreductase activity
default-0_rep_c18284|m.14495	GO:0008236	serine-type peptidase activity
default-0_c72102|m.48263	GO:0008483	transaminase activity
default-0_c72102|m.48263	GO:0030170	pyridoxal phosphate binding
default-0_c72102|m.48263	GO:0003824	catalytic activity
default-0_rep_c106735|m.66081	GO:0003723	RNA binding
default-0_rep_c106735|m.66081	GO:0003676	nucleic acid binding
default-0_rep_c100906|m.63511	GO:0016760	cellulose synthase (UDP-forming) activity
default-0_rep_c54885|m.37688	GO:0008168	methyltransferase activity
default-0_rep_c89079|m.58548	GO:0005515	protein binding
default-0_dn_rep_c46|m.54	GO:0005515	protein binding
default-0_rep_c22728|m.17646	GO:0016787	hydrolase activity
default-0_rep_c92376|m.59972	GO:0003723	RNA binding
default-0_rep_c92376|m.59972	GO:0003746	translation elongation factor activity
default-0_rep_c92376|m.59972	GO:0043022	ribosome binding
default-0_c71663|m.47871	GO:0005525	GTP binding
default-0_rep_c113139|m.69739	GO:0015078	hydrogen ion transmembrane transporter activity
default-0_rep_c35888|m.25360	GO:0005515	protein binding
default-0_c25729|m.19687	GO:0003677	DNA binding
default-0_rep_c16846|m.13475	GO:0030246	carbohydrate binding
default-0_rep_c42421|m.29152	GO:0003924	GTPase activity
default-0_rep_c42421|m.29152	GO:0005525	GTP binding
default-0_rep_c12458|m.10257	GO:0005215	transporter activity
default-0_rep_c79342|m.53348	GO:0005524	ATP binding
default-0_rep_c79342|m.53348	GO:0004672	protein kinase activity
default-0_c80670|m.54174	GO:0008312	7S RNA binding
default-0_c38676|m.26959	GO:0008312	7S RNA binding
default-0_c38676|m.26959	GO:0005525	GTP binding
default-0_c106190|m.65794	GO:0003677	DNA binding
default-0_rep_c12458|m.10258	GO:0005215	transporter activity
default-0_rep_c90156|m.59014	GO:0016866	intramolecular transferase activity
default-0_rep_c59439|m.40725	GO:0003735	structural constituent of ribosome
default-0_rep_c7632|m.6561	GO:0016491	oxidoreductase activity
default-0_rep_c102275|m.64113	GO:0003676	nucleic acid binding
default-0_rep_c41200|m.28405	GO:0004812	aminoacyl-tRNA ligase activity
default-0_rep_c41200|m.28405	GO:0000166	nucleotide binding
default-0_rep_c41200|m.28405	GO:0005524	ATP binding
default-0_rep_c41200|m.28405	GO:0002161	aminoacyl-tRNA editing activity
default-0_rep_c62782|m.42817	GO:0003779	actin binding
default-0_c111696|m.69029	GO:0005524	ATP binding
default-0_c111696|m.69029	GO:0004672	protein kinase activity
default-0_c29961|m.22245	GO:0005089	Rho guanyl-nucleotide exchange factor activity
default-0_rep_c67900|m.45679	GO:0003677	DNA binding
default-0_rep_c67900|m.45679	GO:0046982	protein heterodimerization activity
default-0_c36540|m.25747	GO:0046983	protein dimerization activity
default-0_c19108|m.15105	GO:0003824	catalytic activity
default-0_rep_c3138|m.2760	GO:0005215	transporter activity
default-0_rep_c82059|m.54957	GO:0046982	protein heterodimerization activity
default-0_rep_c82059|m.54957	GO:0003677	DNA binding
default-0_rep_c97405|m.62160	GO:0004568	chitinase activity
default-0_rep_c64106|m.43587	GO:0003735	structural constituent of ribosome
default-0_rep_c231|m.273	GO:0003743	translation initiation factor activity
default-0_rep_c112215|m.69258	GO:0047262	polygalacturonate 4-alpha-galacturonosyltransferase activity
default-0_rep_c112215|m.69258	GO:0016757	transferase activity, transferring glycosyl groups
default-0_rep_c363|m.401	GO:0005509	calcium ion binding
default-0_rep_c55136|m.37876	GO:0003735	structural constituent of ribosome
default-0_rep_c67430|m.45467	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
default-0_c5957|m.5198	GO:0008270	zinc ion binding
default-0_c5957|m.5198	GO:0016491	oxidoreductase activity
default-0_rep_c20863|m.16390	GO:0008081	phosphoric diester hydrolase activity
default-0_c47494|m.32913	GO:0008378	galactosyltransferase activity
default-0_rep_c25307|m.19393	GO:0003735	structural constituent of ribosome
default-0_rep_c25307|m.19393	GO:0003723	RNA binding
default-0_rep_c108704|m.67406	GO:0004014	adenosylmethionine decarboxylase activity
default-0_rep_c59627|m.40850	GO:0003735	structural constituent of ribosome
default-0_rep_c115598|m.71105	GO:0005509	calcium ion binding
default-0_c116669|m.71661	GO:0016491	oxidoreductase activity
default-0_rep_c62836|m.42855	GO:0003899	DNA-directed RNA polymerase activity
default-0_rep_c4751|m.4200	GO:0003735	structural constituent of ribosome
default-0_c3365|m.2944	GO:0003779	actin binding
default-0_rep_c27980|m.21039	GO:0005515	protein binding
default-0_rep_c61|m.78	GO:0005509	calcium ion binding
default-0_c109273|m.67778	GO:0046982	protein heterodimerization activity
default-0_rep_c30726|m.22711	GO:0004012	phospholipid-translocating ATPase activity
default-0_rep_c30726|m.22711	GO:0000287	magnesium ion binding
default-0_rep_c30726|m.22711	GO:0005524	ATP binding
default-0_rep_c42288|m.29073	GO:0016491	oxidoreductase activity
default-0_c77577|m.52209	GO:0005515	protein binding
default-0_rep_c8089|m.6917	GO:0016762	xyloglucan:xyloglucosyl transferase activity
default-0_rep_c53226|m.36563	GO:0016758	transferase activity, transferring hexosyl groups
default-0_rep_c58835|m.40346	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
default-0_c22677|m.17617	GO:0046872	metal ion binding
default-0_rep_c21407|m.16761	GO:0046872	metal ion binding
default-0_rep_c21407|m.16761	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
default-0_rep_c78384|m.52738	GO:0003677	DNA binding
default-0_rep_c78384|m.52738	GO:0046982	protein heterodimerization activity
default-0_rep_c56397|m.38794	GO:0003824	catalytic activity
default-0_rep_c66525|m.44998	GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
default-0_rep_c94797|m.61031	GO:0008270	zinc ion binding
default-0_rep_c94797|m.61031	GO:0003676	nucleic acid binding
default-0_rep_c45217|m.31345	GO:0008233	peptidase activity
default-0_c91033|m.59353	GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
default-0_c91033|m.59353	GO:0003756	protein disulfide isomerase activity
default-0_rep_c57928|m.39795	GO:0046982	protein heterodimerization activity
default-0_rep_c57928|m.39795	GO:0003677	DNA binding
default-0_c33887|m.24344	GO:0005509	calcium ion binding
default-0_rep_c98791|m.62669	GO:0016787	hydrolase activity
default-0_rep_c4475|m.3965	GO:0003676	nucleic acid binding
default-0_rep_c4475|m.3965	GO:0000166	nucleotide binding
default-0_rep_c56701|m.38982	GO:0005524	ATP binding
default-0_rep_c56701|m.38982	GO:0004672	protein kinase activity
default-0_rep_c6410|m.5566	GO:0008233	peptidase activity
default-0_rep_c73741|m.49581	GO:0005515	protein binding
default-0_c85120|m.56608	GO:0003735	structural constituent of ribosome
default-0_c11497|m.9529	GO:0016491	oxidoreductase activity
default-0_c62838|m.42857	GO:0016788	hydrolase activity, acting on ester bonds
default-0_rep_c65593|m.44466	GO:0005515	protein binding
default-0_rep_c20777|m.16340	GO:0003723	RNA binding
default-0_rep_c11383|m.9437	GO:0016491	oxidoreductase activity
default-0_rep_c5429|m.4758	GO:0048529	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity
default-0_rep_c5429|m.4758	GO:0046872	metal ion binding
default-0_rep_c5429|m.4758	GO:0016491	oxidoreductase activity
default-0_rep_c61381|m.41969	GO:0008234	cysteine-type peptidase activity
default-0_rep_c54887|m.37690	GO:0005215	transporter activity
default-0_rep_c6141|m.5339	GO:0005488	binding
default-0_c24939|m.19146	GO:0004386	helicase activity
default-0_rep_c47058|m.32608	GO:0005515	protein binding
default-0_c49729|m.34447	GO:0003777	microtubule motor activity
default-0_rep_c7644|m.6569	GO:0004450	isocitrate dehydrogenase (NADP+) activity
default-0_rep_c7644|m.6569	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
default-0_rep_c111908|m.69120	GO:0004568	chitinase activity
default-0_c41707|m.28700	GO:0008270	zinc ion binding
default-0_c41707|m.28700	GO:0005515	protein binding
default-0_rep_c44127|m.30508	GO:0046872	metal ion binding
default-0_rep_c19710|m.15566	GO:0003735	structural constituent of ribosome
default-0_rep_c19710|m.15566	GO:0019843	rRNA binding
default-0_rep_c91038|m.59355	GO:0046872	metal ion binding
default-0_rep_c42799|m.29396	GO:0004298	threonine-type endopeptidase activity
default-0_rep_c41285|m.28441	GO:0004424	imidazoleglycerol-phosphate dehydratase activity
default-0_c85560|m.56831	GO:0003824	catalytic activity
default-0_c85560|m.56831	GO:0016740	transferase activity
default-0_c44805|m.31027	GO:0004252	serine-type endopeptidase activity
default-0_c113076|m.69705	GO:0008270	zinc ion binding
default-0_rep_c61030|m.41751	GO:0046982	protein heterodimerization activity
default-0_rep_c61030|m.41751	GO:0003677	DNA binding
default-0_rep_c91985|m.59791	GO:0004298	threonine-type endopeptidase activity
default-0_rep_c36002|m.25430	GO:0046872	metal ion binding
default-0_rep_c30563|m.22612	GO:0004743	pyruvate kinase activity
default-0_rep_c30563|m.22612	GO:0000287	magnesium ion binding
default-0_rep_c30563|m.22612	GO:0030955	potassium ion binding
default-0_rep_c71132|m.47384	GO:0003676	nucleic acid binding
default-0_rep_c71132|m.47384	GO:0000166	nucleotide binding
default-0_rep_c64170|m.43625	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
default-0_rep_c61576|m.42097	GO:0003735	structural constituent of ribosome
default-0_rep_c54441|m.37375	GO:0016787	hydrolase activity
default-0_rep_c54441|m.37375	GO:0004452	isopentenyl-diphosphate delta-isomerase activity
default-0_rep_c116862|m.71755	GO:0046872	metal ion binding
default-0_rep_c116862|m.71755	GO:0003677	DNA binding
default-0_rep_c17405|m.13861	GO:0016491	oxidoreductase activity
default-0_c37730|m.26417	GO:0016491	oxidoreductase activity
default-0_rep_c78060|m.52509	GO:0008270	zinc ion binding
default-0_rep_c78060|m.52509	GO:0003676	nucleic acid binding
default-0_rep_c49248|m.34124	GO:0016853	isomerase activity
default-0_rep_c73970|m.49756	GO:0003677	DNA binding
default-0_rep_c107608|m.66679	GO:0015035	protein disulfide oxidoreductase activity
default-0_rep_c107608|m.66679	GO:0009055	electron carrier activity
default-0_c84722|m.56394	GO:0004045	aminoacyl-tRNA hydrolase activity
default-0_rep_c34570|m.24690	GO:0005524	ATP binding
default-0_rep_c34570|m.24690	GO:0003676	nucleic acid binding
default-0_c3970|m.3482	GO:0016887	ATPase activity
default-0_c3970|m.3482	GO:0005524	ATP binding
default-0_c90118|m.58996	GO:0003824	catalytic activity
default-0_c90118|m.58996	GO:0016992	lipoate synthase activity
default-0_c90118|m.58996	GO:0051539	4 iron, 4 sulfur cluster binding
default-0_rep_c56298|m.38732	GO:0022857	transmembrane transporter activity
default-0_c74613|m.50242	GO:0005515	protein binding
default-0_rep_c45258|m.31374	GO:0046982	protein heterodimerization activity
default-0_c16782|m.13431	GO:0005515	protein binding
default-0_rep_c34487|m.24647	GO:0005215	transporter activity
default-0_c47801|m.33112	GO:0004650	polygalacturonase activity
default-0_rep_c49761|m.34468	GO:0003735	structural constituent of ribosome
default-0_c94261|m.60810	GO:0003843	1,3-beta-D-glucan synthase activity
default-0_c7500|m.6455	GO:0004659	prenyltransferase activity
default-0_c115962|m.71293	GO:0005515	protein binding
default-0_rep_c20520|m.16195	GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
default-0_rep_c12166|m.10052	GO:0008270	zinc ion binding
default-0_rep_c12166|m.10052	GO:0003676	nucleic acid binding
default-0_rep_c12166|m.10052	GO:0000166	nucleotide binding
default-0_c108309|m.67150	GO:0008270	zinc ion binding
default-0_c108309|m.67150	GO:0003676	nucleic acid binding
default-0_rep_c18634|m.14753	GO:0016787	hydrolase activity
default-0_c49717|m.34441	GO:0022891	substrate-specific transmembrane transporter activity
default-0_c49717|m.34441	GO:0005215	transporter activity
default-0_c49717|m.34441	GO:0022857	transmembrane transporter activity
default-0_rep_c46744|m.32398	GO:0005488	binding
default-0_rep_c110091|m.68231	GO:0003950	NAD+ ADP-ribosyltransferase activity
default-0_rep_c18912|m.14976	GO:0046982	protein heterodimerization activity
default-0_rep_c18912|m.14976	GO:0003677	DNA binding
default-0_rep_c47488|m.32908	GO:0008270	zinc ion binding
default-0_rep_c47488|m.32908	GO:0003677	DNA binding
default-0_rep_c58451|m.40112	GO:0003872	6-phosphofructokinase activity
default-0_rep_c19455|m.15374	GO:0016887	ATPase activity
default-0_rep_c19455|m.15374	GO:0005524	ATP binding
default-0_rep_c21312|m.16682	GO:0005524	ATP binding
default-0_rep_c21312|m.16682	GO:0004672	protein kinase activity
default-0_dn_rep_c1383|m.1207	GO:0005215	transporter activity
default-0_rep_c47246|m.32747	GO:0008137	NADH dehydrogenase (ubiquinone) activity
default-0_rep_c47246|m.32747	GO:0051536	iron-sulfur cluster binding
default-0_rep_c47246|m.32747	GO:0048038	quinone binding
default-0_rep_c47246|m.32747	GO:0051539	4 iron, 4 sulfur cluster binding
default-0_rep_c63625|m.43312	GO:0003824	catalytic activity
default-0_rep_c63625|m.43312	GO:0003938	IMP dehydrogenase activity
default-0_rep_c66265|m.44852	GO:0016491	oxidoreductase activity
default-0_rep_c76660|m.51617	GO:0003676	nucleic acid binding
default-0_rep_c76660|m.51617	GO:0000166	nucleotide binding
default-0_rep_c54700|m.37556	GO:0005515	protein binding
default-0_rep_c88580|m.58324	GO:0015035	protein disulfide oxidoreductase activity
default-0_rep_c33711|m.24252	GO:0004869	cysteine-type endopeptidase inhibitor activity
default-0_rep_c13018|m.10661	GO:0003735	structural constituent of ribosome
default-0_rep_c44452|m.30764	GO:0016168	chlorophyll binding
default-0_c95259|m.61266	GO:0003824	catalytic activity
default-0_c95259|m.61266	GO:0050660	flavin adenine dinucleotide binding
default-0_c95259|m.61266	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
default-0_c95259|m.61266	GO:0008762	UDP-N-acetylmuramate dehydrogenase activity
default-0_rep_c61974|m.42346	GO:0003924	GTPase activity
default-0_rep_c61974|m.42346	GO:0005200	structural constituent of cytoskeleton
default-0_rep_c61974|m.42346	GO:0005525	GTP binding
default-0_rep_c83715|m.55869	GO:0016491	oxidoreductase activity
default-0_rep_c42826|m.29425	GO:0003723	RNA binding
default-0_rep_c52639|m.36186	GO:0003824	catalytic activity
default-0_rep_c52639|m.36186	GO:0004807	triose-phosphate isomerase activity
default-0_rep_c54559|m.37452	GO:0004869	cysteine-type endopeptidase inhibitor activity
default-0_c14141|m.11503	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
default-0_rep_c52930|m.36362	GO:0005515	protein binding
default-0_rep_c108952|m.67581	GO:0003723	RNA binding
default-0_dn_rep_c32|m.34	GO:0003735	structural constituent of ribosome
default-0_dn_rep_c32|m.34	GO:0003723	RNA binding
default-0_dn_rep_c354|m.392	GO:0005200	structural constituent of cytoskeleton
default-0_dn_rep_c354|m.392	GO:0005525	GTP binding
default-0_dn_rep_c2589|m.2265	GO:0016757	transferase activity, transferring glycosyl groups
default-0_rep_c73|m.92	GO:0004478	methionine adenosyltransferase activity
default-0_rep_c73|m.92	GO:0005524	ATP binding
default-0_rep_c57576|m.39552	GO:0003735	structural constituent of ribosome
default-0_rep_c9657|m.8138	GO:0030145	manganese ion binding
default-0_rep_c9657|m.8138	GO:0045735	nutrient reservoir activity
default-0_rep_c25866|m.19774	GO:0005525	GTP binding
default-0_rep_c15292|m.12334	GO:0005524	ATP binding
default-0_rep_c15292|m.12334	GO:0004672	protein kinase activity
default-0_rep_c15292|m.12333	GO:0005524	ATP binding
default-0_rep_c15292|m.12333	GO:0004672	protein kinase activity
default-0_c10771|m.8996	GO:0005515	protein binding
default-0_c91364|m.59503	GO:0008483	transaminase activity
default-0_c91364|m.59503	GO:0030170	pyridoxal phosphate binding
default-0_c91364|m.59503	GO:0003824	catalytic activity
default-0_rep_c29862|m.22179	GO:0005525	GTP binding
default-0_c36424|m.25680	GO:0016491	oxidoreductase activity
default-0_rep_c1620|m.1394	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
default-0_rep_c1620|m.1394	GO:0050662	coenzyme binding
default-0_rep_c1620|m.1394	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
default-0_rep_c50098|m.34675	GO:0043022	ribosome binding
default-0_rep_c92043|m.59822	GO:0003735	structural constituent of ribosome
default-0_rep_c114648|m.70612	GO:0003677	DNA binding
default-0_rep_c114648|m.70612	GO:0046982	protein heterodimerization activity
default-0_rep_c69657|m.46470	GO:0003735	structural constituent of ribosome
default-0_rep_c50676|m.35030	GO:0046982	protein heterodimerization activity
default-0_rep_c50676|m.35030	GO:0003677	DNA binding
default-0_c106786|m.66119	GO:0003677	DNA binding
default-0_c8501|m.7229	GO:0003723	RNA binding
default-0_rep_c42688|m.29317	GO:0016168	chlorophyll binding
default-0_rep_c37204|m.26122	GO:0003735	structural constituent of ribosome
default-0_rep_c113922|m.70181	GO:0003824	catalytic activity
default-0_rep_c113922|m.70181	GO:0008270	zinc ion binding
default-0_rep_c23809|m.18359	GO:0005515	protein binding
default-0_rep_c107262|m.66441	GO:0008168	methyltransferase activity
default-0_rep_c107262|m.66441	GO:0008171	O-methyltransferase activity
default-0_rep_c51137|m.35314	GO:0003824	catalytic activity
default-0_rep_c51137|m.35314	GO:0004375	glycine dehydrogenase (decarboxylating) activity
default-0_c47871|m.33161	GO:0008889	glycerophosphodiester phosphodiesterase activity
default-0_c47871|m.33161	GO:0008081	phosphoric diester hydrolase activity
default-0_rep_c2001|m.1734	GO:0004594	pantothenate kinase activity
default-0_rep_c2001|m.1734	GO:0005524	ATP binding
default-0_rep_c56736|m.39004	GO:0003735	structural constituent of ribosome
default-0_c93955|m.60667	GO:0003824	catalytic activity
default-0_rep_c17942|m.14250	GO:0046982	protein heterodimerization activity
default-0_rep_c17942|m.14250	GO:0003677	DNA binding
default-0_c90633|m.59195	GO:0019901	protein kinase binding
default-0_c14717|m.11921	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
default-0_c93955|m.60668	GO:0003824	catalytic activity
default-0_rep_c56894|m.39115	GO:0051082	unfolded protein binding
default-0_rep_c66036|m.44717	GO:0022857	transmembrane transporter activity
default-0_c71271|m.47502	GO:0003700	transcription factor activity, sequence-specific DNA binding
default-0_c71271|m.47502	GO:0003677	DNA binding
default-0_rep_c4693|m.4152	GO:0004014	adenosylmethionine decarboxylase activity
default-0_c8931|m.7559	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
default-0_c8931|m.7559	GO:0016491	oxidoreductase activity
default-0_rep_c47280|m.32770	GO:0046872	metal ion binding
default-0_rep_c47280|m.32770	GO:0003676	nucleic acid binding
default-0_dn_rep_c47898|m.33187	GO:0003735	structural constituent of ribosome
default-0_rep_c111546|m.68963	GO:0004525	ribonuclease III activity
default-0_rep_c111546|m.68963	GO:0003723	RNA binding
default-0_rep_c59643|m.40862	GO:0003700	transcription factor activity, sequence-specific DNA binding
default-0_rep_c59643|m.40862	GO:0003677	DNA binding
default-0_c43618|m.30087	GO:0003735	structural constituent of ribosome
default-0_rep_c110210|m.68312	GO:0003677	DNA binding
default-0_c79629|m.53532	GO:0005515	protein binding
default-0_rep_c52483|m.36095	GO:0008199	ferric iron binding
default-0_rep_c52483|m.36095	GO:0004322	ferroxidase activity
default-0_rep_c63225|m.43084	GO:0008234	cysteine-type peptidase activity
default-0_c16904|m.13520	GO:0008270	zinc ion binding
default-0_c16904|m.13520	GO:0016491	oxidoreductase activity
default-0_rep_c5297|m.4659	GO:0005094	Rho GDP-dissociation inhibitor activity
default-0_rep_c63420|m.43204	GO:0003735	structural constituent of ribosome
default-0_rep_c38693|m.26967	GO:0005215	transporter activity
default-0_rep_c116118|m.71379	GO:0016866	intramolecular transferase activity
default-0_rep_c50895|m.35160	GO:0033897	ribonuclease T2 activity
default-0_rep_c50895|m.35160	GO:0003723	RNA binding
default-0_rep_c116772|m.71702	GO:0016787	hydrolase activity
default-0_rep_c19529|m.15431	GO:0003677	DNA binding
default-0_rep_c19529|m.15431	GO:0046982	protein heterodimerization activity
default-0_rep_c37895|m.26511	GO:0016491	oxidoreductase activity
default-0_rep_c37895|m.26511	GO:0016615	malate dehydrogenase activity
default-0_c48928|m.33887	GO:0005215	transporter activity
default-0_c12522|m.10301	GO:0004722	protein serine/threonine phosphatase activity
default-0_rep_c35246|m.25050	GO:0003735	structural constituent of ribosome
default-0_rep_c43329|m.29844	GO:0004743	pyruvate kinase activity
default-0_rep_c43329|m.29844	GO:0000287	magnesium ion binding
default-0_rep_c43329|m.29844	GO:0030955	potassium ion binding
default-0_rep_c16582|m.13291	GO:0005524	ATP binding
default-0_rep_c16582|m.13291	GO:0030983	mismatched DNA binding
default-0_rep_c43372|m.29881	GO:0005524	ATP binding
default-0_rep_c95273|m.61274	GO:0003735	structural constituent of ribosome
default-0_rep_c60274|m.41286	GO:0046872	metal ion binding
default-0_rep_c60274|m.41286	GO:0008270	zinc ion binding
default-0_rep_c60274|m.41286	GO:0003676	nucleic acid binding
default-0_rep_c69855|m.46567	GO:0046982	protein heterodimerization activity
default-0_rep_c69855|m.46567	GO:0003677	DNA binding
default-0_rep_c3387|m.2964	GO:0004252	serine-type endopeptidase activity
default-0_rep_c59832|m.40973	GO:0003735	structural constituent of ribosome
default-0_rep_c27238|m.20608	GO:0003824	catalytic activity
default-0_rep_c27238|m.20608	GO:0050662	coenzyme binding
default-0_rep_c44178|m.30546	GO:0003735	structural constituent of ribosome
